Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 7, 'n_head': 4, 'n_kv_head': 2, 'n_embd': 512, 'window_pattern': 'SSMM'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 12,845,312
  scalars                 : 14
  total                   : 29,622,542
Estimated FLOPs per token: 1.187528e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.010814 | lrm: 1.00 | dt: 16585ms | tok/sec: 3,951 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00384 (21.0%) | loss: 3.559180 | lrm: 1.00 | dt: 168ms | tok/sec: 390,051 | mfu: 4.7% | epoch: 1 | remaining: 237s    
step 00385 (21.1%) | loss: 3.559731 | lrm: 1.00 | dt: 170ms | tok/sec: 386,157 | mfu: 4.6% | epoch: 1 | remaining: 237s    
step 00386 (21.1%) | loss: 3.560428 | lrm: 1.00 | dt: 167ms | tok/sec: 391,946 | mfu: 4.7% | epoch: 1 | remaining: 236s    
step 00387 (21.2%) | loss: 3.553120 | lrm: 1.00 | dt: 168ms | tok/sec: 390,333 | mfu: 4.7% | epoch: 1 | remaining: 236s    
step 00388 (21.2%) | loss: 3.554384 | lrm: 1.00 | dt: 171ms | tok/sec: 383,410 | mfu: 4.6% | epoch: 1 | remaining: 236s    
step 00389 (21.3%) | loss: 3.561003 | lrm: 1.00 | dt: 169ms | tok/sec: 387,244 | mfu: 4.6% | epoch: 1 | remaining: 236s    
step 00390 (21.4%) | loss: 3.567620 | lrm: 1.00 | dt: 168ms | tok/sec: 389,970 | mfu: 4.7% | epoch: 1 | remaining: 236s    
step 00391 (21.4%) | loss: 3.577316 | lrm: 1.00 | dt: 169ms | tok/sec: 386,993 | mfu: 4.6% | epoch: 1 | remaining: 236s    
step 00392 (21.5%) | loss: 3.576549 | lrm: 1.00 | dt: 168ms | tok/sec: 390,445 | mfu: 4.7% | epoch: 1 | remaining: 235s    
step 00393 (21.5%) | loss: 3.584982 | lrm: 1.00 | dt: 169ms | tok/sec: 387,835 | mfu: 4.7% | epoch: 1 | remaining: 235s    
step 00394 (21.6%) | loss: 3.586105 | lrm: 1.00 | dt: 171ms | tok/sec: 384,099 | mfu: 4.6% | epoch: 1 | remaining: 235s    
step 00395 (21.6%) | loss: 3.581077 | lrm: 1.00 | dt: 168ms | tok/sec: 390,462 | mfu: 4.7% | epoch: 1 | remaining: 235s    
step 00396 (21.7%) | loss: 3.579608 | lrm: 1.00 | dt: 168ms | tok/sec: 389,888 | mfu: 4.7% | epoch: 1 | remaining: 235s    
step 00397 (21.7%) | loss: 3.587061 | lrm: 1.00 | dt: 168ms | tok/sec: 389,835 | mfu: 4.7% | epoch: 1 | remaining: 235s    
step 00398 (21.8%) | loss: 3.580989 | lrm: 1.00 | dt: 169ms | tok/sec: 387,412 | mfu: 4.6% | epoch: 1 | remaining: 234s    
step 00399 (21.9%) | loss: 3.572193 | lrm: 1.00 | dt: 167ms | tok/sec: 391,397 | mfu: 4.7% | epoch: 1 | remaining: 234s    
step 00400 (21.9%) | loss: 3.570822 | lrm: 1.00 | dt: 171ms | tok/sec: 383,582 | mfu: 4.6% | epoch: 1 | remaining: 234s    
step 00401 (22.0%) | loss: 3.566558 | lrm: 1.00 | dt: 169ms | tok/sec: 386,737 | mfu: 4.6% | epoch: 1 | remaining: 234s    
step 00402 (22.0%) | loss: 3.564542 | lrm: 1.00 | dt: 167ms | tok/sec: 391,296 | mfu: 4.7% | epoch: 1 | remaining: 234s    
step 00403 (22.1%) | loss: 3.568464 | lrm: 1.00 | dt: 169ms | tok/sec: 387,767 | mfu: 4.7% | epoch: 1 | remaining: 234s    
step 00404 (22.1%) | loss: 3.565045 | lrm: 1.00 | dt: 169ms | tok/sec: 387,352 | mfu: 4.6% | epoch: 1 | remaining: 233s    
step 00405 (22.2%) | loss: 3.557501 | lrm: 1.00 | dt: 170ms | tok/sec: 386,156 | mfu: 4.6% | epoch: 1 | remaining: 233s    
step 00406 (22.3%) | loss: 3.556451 | lrm: 1.00 | dt: 170ms | tok/sec: 385,005 | mfu: 4.6% | epoch: 1 | remaining: 233s    
step 00407 (22.3%) | loss: 3.560645 | lrm: 1.00 | dt: 168ms | tok/sec: 389,733 | mfu: 4.7% | epoch: 1 | remaining: 233s    
step 00408 (22.4%) | loss: 3.549401 | lrm: 1.00 | dt: 168ms | tok/sec: 388,964 | mfu: 4.7% | epoch: 1 | remaining: 233s    
step 00409 (22.4%) | loss: 3.552001 | lrm: 1.00 | dt: 168ms | tok/sec: 389,209 | mfu: 4.7% | epoch: 1 | remaining: 233s    
step 00410 (22.5%) | loss: 3.553935 | lrm: 1.00 | dt: 169ms | tok/sec: 387,585 | mfu: 4.7% | epoch: 1 | remaining: 232s    
step 00411 (22.5%) | loss: 3.555376 | lrm: 1.00 | dt: 169ms | tok/sec: 388,513 | mfu: 4.7% | epoch: 1 | remaining: 232s    
step 00412 (22.6%) | loss: 3.559602 | lrm: 1.00 | dt: 170ms | tok/sec: 385,603 | mfu: 4.6% | epoch: 1 | remaining: 232s    
step 00413 (22.6%) | loss: 3.554288 | lrm: 1.00 | dt: 170ms | tok/sec: 386,251 | mfu: 4.6% | epoch: 1 | remaining: 232s    
step 00414 (22.7%) | loss: 3.551685 | lrm: 1.00 | dt: 169ms | tok/sec: 387,051 | mfu: 4.6% | epoch: 1 | remaining: 232s    
step 00415 (22.8%) | loss: 3.558649 | lrm: 1.00 | dt: 168ms | tok/sec: 389,240 | mfu: 4.7% | epoch: 1 | remaining: 232s    
step 00416 (22.8%) | loss: 3.556444 | lrm: 1.00 | dt: 169ms | tok/sec: 388,422 | mfu: 4.7% | epoch: 1 | remaining: 231s    
step 00417 (22.9%) | loss: 3.558843 | lrm: 1.00 | dt: 169ms | tok/sec: 388,923 | mfu: 4.7% | epoch: 1 | remaining: 231s    
step 00418 (22.9%) | loss: 3.559053 | lrm: 1.00 | dt: 171ms | tok/sec: 382,711 | mfu: 4.6% | epoch: 1 | remaining: 231s    
step 00419 (23.0%) | loss: 3.552365 | lrm: 1.00 | dt: 167ms | tok/sec: 391,805 | mfu: 4.7% | epoch: 1 | remaining: 231s    
step 00420 (23.0%) | loss: 3.540401 | lrm: 1.00 | dt: 169ms | tok/sec: 386,837 | mfu: 4.6% | epoch: 1 | remaining: 231s    
step 00421 (23.1%) | loss: 3.541997 | lrm: 1.00 | dt: 168ms | tok/sec: 390,290 | mfu: 4.7% | epoch: 1 | remaining: 231s    
step 00422 (23.2%) | loss: 3.550765 | lrm: 1.00 | dt: 170ms | tok/sec: 385,923 | mfu: 4.6% | epoch: 1 | remaining: 230s    
step 00423 (23.2%) | loss: 3.546072 | lrm: 1.00 | dt: 168ms | tok/sec: 389,485 | mfu: 4.7% | epoch: 1 | remaining: 230s    
step 00424 (23.3%) | loss: 3.542444 | lrm: 1.00 | dt: 171ms | tok/sec: 384,340 | mfu: 4.6% | epoch: 1 | remaining: 230s    
step 00425 (23.3%) | loss: 3.544108 | lrm: 1.00 | dt: 169ms | tok/sec: 387,216 | mfu: 4.6% | epoch: 1 | remaining: 230s    
step 00426 (23.4%) | loss: 3.550529 | lrm: 1.00 | dt: 168ms | tok/sec: 390,609 | mfu: 4.7% | epoch: 1 | remaining: 230s    
step 00427 (23.4%) | loss: 3.543050 | lrm: 1.00 | dt: 169ms | tok/sec: 387,386 | mfu: 4.6% | epoch: 1 | remaining: 230s    
step 00428 (23.5%) | loss: 3.545057 | lrm: 1.00 | dt: 168ms | tok/sec: 389,728 | mfu: 4.7% | epoch: 1 | remaining: 229s    
step 00429 (23.5%) | loss: 3.546954 | lrm: 1.00 | dt: 170ms | tok/sec: 386,487 | mfu: 4.6% | epoch: 1 | remaining: 229s    
step 00430 (23.6%) | loss: 3.540706 | lrm: 1.00 | dt: 170ms | tok/sec: 384,948 | mfu: 4.6% | epoch: 1 | remaining: 229s    
step 00431 (23.7%) | loss: 3.548862 | lrm: 1.00 | dt: 170ms | tok/sec: 386,562 | mfu: 4.6% | epoch: 1 | remaining: 229s    
step 00432 (23.7%) | loss: 3.545304 | lrm: 1.00 | dt: 168ms | tok/sec: 391,180 | mfu: 4.7% | epoch: 1 | remaining: 229s    
step 00433 (23.8%) | loss: 3.545661 | lrm: 1.00 | dt: 167ms | tok/sec: 391,309 | mfu: 4.7% | epoch: 1 | remaining: 229s    
step 00434 (23.8%) | loss: 3.543491 | lrm: 1.00 | dt: 170ms | tok/sec: 385,369 | mfu: 4.6% | epoch: 1 | remaining: 228s    
step 00435 (23.9%) | loss: 3.555698 | lrm: 1.00 | dt: 169ms | tok/sec: 387,640 | mfu: 4.7% | epoch: 1 | remaining: 228s    
step 00436 (23.9%) | loss: 3.559099 | lrm: 1.00 | dt: 169ms | tok/sec: 386,847 | mfu: 4.6% | epoch: 1 | remaining: 228s    
step 00437 (24.0%) | loss: 3.550156 | lrm: 1.00 | dt: 169ms | tok/sec: 387,359 | mfu: 4.6% | epoch: 1 | remaining: 228s    
step 00438 (24.1%) | loss: 3.553313 | lrm: 1.00 | dt: 169ms | tok/sec: 388,800 | mfu: 4.7% | epoch: 1 | remaining: 228s    
step 00439 (24.1%) | loss: 3.558680 | lrm: 1.00 | dt: 168ms | tok/sec: 390,491 | mfu: 4.7% | epoch: 1 | remaining: 227s    
step 00440 (24.2%) | loss: 3.553594 | lrm: 1.00 | dt: 170ms | tok/sec: 385,614 | mfu: 4.6% | epoch: 1 | remaining: 227s    
step 00441 (24.2%) | loss: 3.565007 | lrm: 1.00 | dt: 170ms | tok/sec: 385,533 | mfu: 4.6% | epoch: 1 | remaining: 227s    
step 00442 (24.3%) | loss: 3.564181 | lrm: 1.00 | dt: 169ms | tok/sec: 387,540 | mfu: 4.7% | epoch: 1 | remaining: 227s    
step 00443 (24.3%) | loss: 3.561538 | lrm: 1.00 | dt: 168ms | tok/sec: 391,068 | mfu: 4.7% | epoch: 1 | remaining: 227s    
step 00444 (24.4%) | loss: 3.558089 | lrm: 1.00 | dt: 170ms | tok/sec: 385,732 | mfu: 4.6% | epoch: 1 | remaining: 227s    
step 00445 (24.4%) | loss: 3.560618 | lrm: 1.00 | dt: 168ms | tok/sec: 390,789 | mfu: 4.7% | epoch: 1 | remaining: 226s    
step 00446 (24.5%) | loss: 3.558863 | lrm: 1.00 | dt: 169ms | tok/sec: 387,005 | mfu: 4.6% | epoch: 1 | remaining: 226s    
step 00447 (24.6%) | loss: 3.548927 | lrm: 1.00 | dt: 171ms | tok/sec: 383,301 | mfu: 4.6% | epoch: 1 | remaining: 226s    
step 00448 (24.6%) | loss: 3.554583 | lrm: 1.00 | dt: 170ms | tok/sec: 386,000 | mfu: 4.6% | epoch: 1 | remaining: 226s    
step 00449 (24.7%) | loss: 3.550078 | lrm: 1.00 | dt: 168ms | tok/sec: 389,312 | mfu: 4.7% | epoch: 1 | remaining: 226s    
step 00450 (24.7%) | loss: 3.537840 | lrm: 1.00 | dt: 168ms | tok/sec: 390,511 | mfu: 4.7% | epoch: 1 | remaining: 226s    
step 00451 (24.8%) | loss: 3.533136 | lrm: 1.00 | dt: 169ms | tok/sec: 387,331 | mfu: 4.6% | epoch: 1 | remaining: 225s    
step 00452 (24.8%) | loss: 3.538294 | lrm: 1.00 | dt: 169ms | tok/sec: 388,914 | mfu: 4.7% | epoch: 1 | remaining: 225s    
step 00453 (24.9%) | loss: 3.543173 | lrm: 1.00 | dt: 172ms | tok/sec: 381,280 | mfu: 4.6% | epoch: 1 | remaining: 225s    
step 00454 (25.0%) | loss: 3.548545 | lrm: 1.00 | dt: 169ms | tok/sec: 388,806 | mfu: 4.7% | epoch: 1 | remaining: 225s    
step 00455 (25.0%) | loss: 3.547711 | lrm: 1.00 | dt: 168ms | tok/sec: 390,319 | mfu: 4.7% | epoch: 1 | remaining: 225s    
step 00456 (25.1%) | loss: 3.537107 | lrm: 1.00 | dt: 170ms | tok/sec: 385,059 | mfu: 4.6% | epoch: 1 | remaining: 225s    
step 00457 (25.1%) | loss: 3.540012 | lrm: 1.00 | dt: 169ms | tok/sec: 388,295 | mfu: 4.7% | epoch: 1 | remaining: 224s    
step 00458 (25.2%) | loss: 3.538971 | lrm: 1.00 | dt: 169ms | tok/sec: 387,328 | mfu: 4.6% | epoch: 1 | remaining: 224s    
step 00459 (25.2%) | loss: 3.540461 | lrm: 1.00 | dt: 170ms | tok/sec: 386,267 | mfu: 4.6% | epoch: 1 | remaining: 224s    
step 00460 (25.3%) | loss: 3.542155 | lrm: 1.00 | dt: 172ms | tok/sec: 381,088 | mfu: 4.6% | epoch: 1 | remaining: 224s    
step 00461 (25.4%) | loss: 3.539589 | lrm: 1.00 | dt: 168ms | tok/sec: 391,246 | mfu: 4.7% | epoch: 1 | remaining: 224s    
step 00462 (25.4%) | loss: 3.531397 | lrm: 1.00 | dt: 169ms | tok/sec: 386,816 | mfu: 4.6% | epoch: 1 | remaining: 224s    
step 00463 (25.5%) | loss: 3.537465 | lrm: 1.00 | dt: 168ms | tok/sec: 390,938 | mfu: 4.7% | epoch: 1 | remaining: 223s    
step 00464 (25.5%) | loss: 3.543371 | lrm: 1.00 | dt: 169ms | tok/sec: 386,777 | mfu: 4.6% | epoch: 1 | remaining: 223s    
step 00465 (25.6%) | loss: 3.533012 | lrm: 1.00 | dt: 169ms | tok/sec: 386,819 | mfu: 4.6% | epoch: 1 | remaining: 223s    
step 00466 (25.6%) | loss: 3.527598 | lrm: 1.00 | dt: 170ms | tok/sec: 384,729 | mfu: 4.6% | epoch: 1 | remaining: 223s    
step 00467 (25.7%) | loss: 3.524305 | lrm: 1.00 | dt: 167ms | tok/sec: 392,909 | mfu: 4.7% | epoch: 1 | remaining: 223s    
step 00468 (25.7%) | loss: 3.519257 | lrm: 1.00 | dt: 168ms | tok/sec: 389,051 | mfu: 4.7% | epoch: 1 | remaining: 223s    
step 00469 (25.8%) | loss: 3.521685 | lrm: 1.00 | dt: 169ms | tok/sec: 387,954 | mfu: 4.7% | epoch: 1 | remaining: 222s    
step 00470 (25.9%) | loss: 3.518449 | lrm: 1.00 | dt: 169ms | tok/sec: 387,740 | mfu: 4.7% | epoch: 1 | remaining: 222s    
step 00471 (25.9%) | loss: 3.516021 | lrm: 1.00 | dt: 169ms | tok/sec: 388,520 | mfu: 4.7% | epoch: 1 | remaining: 222s    
step 00472 (26.0%) | loss: 3.524177 | lrm: 1.00 | dt: 171ms | tok/sec: 384,160 | mfu: 4.6% | epoch: 1 | remaining: 222s    
step 00473 (26.0%) | loss: 3.517760 | lrm: 1.00 | dt: 168ms | tok/sec: 389,870 | mfu: 4.7% | epoch: 1 | remaining: 222s    
step 00474 (26.1%) | loss: 3.514531 | lrm: 1.00 | dt: 169ms | tok/sec: 388,535 | mfu: 4.7% | epoch: 1 | remaining: 222s    
step 00475 (26.1%) | loss: 3.522530 | lrm: 1.00 | dt: 169ms | tok/sec: 388,564 | mfu: 4.7% | epoch: 1 | remaining: 221s    
step 00476 (26.2%) | loss: 3.526971 | lrm: 1.00 | dt: 170ms | tok/sec: 384,777 | mfu: 4.6% | epoch: 1 | remaining: 221s    
step 00477 (26.3%) | loss: 3.529301 | lrm: 1.00 | dt: 170ms | tok/sec: 385,058 | mfu: 4.6% | epoch: 1 | remaining: 221s    
step 00478 (26.3%) | loss: 3.528026 | lrm: 1.00 | dt: 169ms | tok/sec: 387,803 | mfu: 4.7% | epoch: 1 | remaining: 221s    
step 00479 (26.4%) | loss: 3.532473 | lrm: 1.00 | dt: 169ms | tok/sec: 387,582 | mfu: 4.7% | epoch: 1 | remaining: 221s    
step 00480 (26.4%) | loss: 3.521463 | lrm: 1.00 | dt: 167ms | tok/sec: 391,702 | mfu: 4.7% | epoch: 1 | remaining: 221s    
step 00481 (26.5%) | loss: 3.524034 | lrm: 1.00 | dt: 169ms | tok/sec: 387,427 | mfu: 4.6% | epoch: 1 | remaining: 220s    
step 00482 (26.5%) | loss: 3.520117 | lrm: 1.00 | dt: 168ms | tok/sec: 390,406 | mfu: 4.7% | epoch: 1 | remaining: 220s    
step 00483 (26.6%) | loss: 3.520151 | lrm: 1.00 | dt: 171ms | tok/sec: 382,215 | mfu: 4.6% | epoch: 1 | remaining: 220s    
step 00484 (26.6%) | loss: 3.524108 | lrm: 1.00 | dt: 168ms | tok/sec: 388,970 | mfu: 4.7% | epoch: 1 | remaining: 220s    
step 00485 (26.7%) | loss: 3.519732 | lrm: 1.00 | dt: 169ms | tok/sec: 387,099 | mfu: 4.6% | epoch: 1 | remaining: 220s    
step 00486 (26.8%) | loss: 3.518244 | lrm: 1.00 | dt: 169ms | tok/sec: 387,472 | mfu: 4.7% | epoch: 1 | remaining: 220s    
step 00487 (26.8%) | loss: 3.518794 | lrm: 1.00 | dt: 169ms | tok/sec: 388,106 | mfu: 4.7% | epoch: 1 | remaining: 219s    
step 00488 (26.9%) | loss: 3.513558 | lrm: 1.00 | dt: 169ms | tok/sec: 388,538 | mfu: 4.7% | epoch: 1 | remaining: 219s    
step 00489 (26.9%) | loss: 3.511043 | lrm: 1.00 | dt: 171ms | tok/sec: 382,919 | mfu: 4.6% | epoch: 1 | remaining: 219s    
step 00490 (27.0%) | loss: 3.516669 | lrm: 1.00 | dt: 168ms | tok/sec: 390,007 | mfu: 4.7% | epoch: 1 | remaining: 219s    
step 00491 (27.0%) | loss: 3.514640 | lrm: 1.00 | dt: 169ms | tok/sec: 388,314 | mfu: 4.7% | epoch: 1 | remaining: 219s    
step 00492 (27.1%) | loss: 3.514671 | lrm: 1.00 | dt: 169ms | tok/sec: 388,709 | mfu: 4.7% | epoch: 1 | remaining: 219s    
step 00493 (27.2%) | loss: 3.515966 | lrm: 1.00 | dt: 168ms | tok/sec: 390,559 | mfu: 4.7% | epoch: 1 | remaining: 218s    
step 00494 (27.2%) | loss: 3.511437 | lrm: 1.00 | dt: 170ms | tok/sec: 386,316 | mfu: 4.6% | epoch: 1 | remaining: 218s    
step 00495 (27.3%) | loss: 3.502842 | lrm: 1.00 | dt: 170ms | tok/sec: 385,861 | mfu: 4.6% | epoch: 1 | remaining: 218s    
step 00496 (27.3%) | loss: 3.506097 | lrm: 1.00 | dt: 171ms | tok/sec: 382,926 | mfu: 4.6% | epoch: 1 | remaining: 218s    
step 00497 (27.4%) | loss: 3.509926 | lrm: 1.00 | dt: 167ms | tok/sec: 391,563 | mfu: 4.7% | epoch: 1 | remaining: 218s    
step 00498 (27.4%) | loss: 3.515190 | lrm: 1.00 | dt: 168ms | tok/sec: 389,401 | mfu: 4.7% | epoch: 1 | remaining: 218s    
step 00499 (27.5%) | loss: 3.516055 | lrm: 1.00 | dt: 170ms | tok/sec: 385,471 | mfu: 4.6% | epoch: 1 | remaining: 217s    
step 00500 (27.6%) | loss: 3.513601 | lrm: 1.00 | dt: 169ms | tok/sec: 388,133 | mfu: 4.7% | epoch: 1 | remaining: 217s    
step 00501 (27.6%) | loss: 3.513149 | lrm: 1.00 | dt: 170ms | tok/sec: 385,479 | mfu: 4.6% | epoch: 1 | remaining: 217s    
step 00502 (27.7%) | loss: 3.519224 | lrm: 1.00 | dt: 168ms | tok/sec: 389,363 | mfu: 4.7% | epoch: 1 | remaining: 217s    
step 00503 (27.7%) | loss: 3.520467 | lrm: 1.00 | dt: 169ms | tok/sec: 388,164 | mfu: 4.7% | epoch: 1 | remaining: 217s    
step 00504 (27.8%) | loss: 3.509901 | lrm: 1.00 | dt: 168ms | tok/sec: 389,260 | mfu: 4.7% | epoch: 1 | remaining: 217s    
step 00505 (27.8%) | loss: 3.508850 | lrm: 1.00 | dt: 170ms | tok/sec: 385,996 | mfu: 4.6% | epoch: 1 | remaining: 216s    
step 00506 (27.9%) | loss: 3.507002 | lrm: 1.00 | dt: 169ms | tok/sec: 388,438 | mfu: 4.7% | epoch: 1 | remaining: 216s    
step 00507 (27.9%) | loss: 3.510100 | lrm: 1.00 | dt: 171ms | tok/sec: 384,158 | mfu: 4.6% | epoch: 1 | remaining: 216s    
step 00508 (28.0%) | loss: 3.509810 | lrm: 1.00 | dt: 169ms | tok/sec: 386,869 | mfu: 4.6% | epoch: 1 | remaining: 216s    
step 00509 (28.1%) | loss: 3.502490 | lrm: 1.00 | dt: 170ms | tok/sec: 385,978 | mfu: 4.6% | epoch: 1 | remaining: 216s    
step 00510 (28.1%) | loss: 3.503113 | lrm: 1.00 | dt: 167ms | tok/sec: 391,902 | mfu: 4.7% | epoch: 1 | remaining: 215s    
step 00511 (28.2%) | loss: 3.512277 | lrm: 1.00 | dt: 169ms | tok/sec: 388,611 | mfu: 4.7% | epoch: 1 | remaining: 215s    
step 00512 (28.2%) | loss: 3.509751 | lrm: 1.00 | dt: 170ms | tok/sec: 385,523 | mfu: 4.6% | epoch: 1 | remaining: 215s    
step 00513 (28.3%) | loss: 3.503994 | lrm: 1.00 | dt: 169ms | tok/sec: 386,649 | mfu: 4.6% | epoch: 1 | remaining: 215s    
step 00514 (28.3%) | loss: 3.493506 | lrm: 1.00 | dt: 167ms | tok/sec: 391,832 | mfu: 4.7% | epoch: 1 | remaining: 215s    
step 00515 (28.4%) | loss: 3.492842 | lrm: 1.00 | dt: 171ms | tok/sec: 384,250 | mfu: 4.6% | epoch: 1 | remaining: 215s    
step 00516 (28.5%) | loss: 3.489317 | lrm: 1.00 | dt: 168ms | tok/sec: 389,190 | mfu: 4.7% | epoch: 1 | remaining: 214s    
step 00517 (28.5%) | loss: 3.479918 | lrm: 1.00 | dt: 168ms | tok/sec: 389,122 | mfu: 4.7% | epoch: 1 | remaining: 214s    
step 00518 (28.6%) | loss: 3.491466 | lrm: 1.00 | dt: 169ms | tok/sec: 387,506 | mfu: 4.7% | epoch: 1 | remaining: 214s    
step 00519 (28.6%) | loss: 3.495869 | lrm: 1.00 | dt: 170ms | tok/sec: 386,072 | mfu: 4.6% | epoch: 1 | remaining: 214s    
step 00520 (28.7%) | loss: 3.491971 | lrm: 1.00 | dt: 170ms | tok/sec: 386,500 | mfu: 4.6% | epoch: 1 | remaining: 214s    
step 00521 (28.7%) | loss: 3.496538 | lrm: 1.00 | dt: 168ms | tok/sec: 389,197 | mfu: 4.7% | epoch: 1 | remaining: 214s    
step 00522 (28.8%) | loss: 3.493543 | lrm: 1.00 | dt: 169ms | tok/sec: 388,802 | mfu: 4.7% | epoch: 1 | remaining: 213s    
step 00523 (28.8%) | loss: 3.489680 | lrm: 1.00 | dt: 169ms | tok/sec: 388,729 | mfu: 4.7% | epoch: 1 | remaining: 213s    
step 00524 (28.9%) | loss: 3.494107 | lrm: 1.00 | dt: 170ms | tok/sec: 385,125 | mfu: 4.6% | epoch: 1 | remaining: 213s    
step 00525 (29.0%) | loss: 3.484556 | lrm: 1.00 | dt: 170ms | tok/sec: 386,272 | mfu: 4.6% | epoch: 1 | remaining: 213s    
step 00526 (29.0%) | loss: 3.474524 | lrm: 1.00 | dt: 168ms | tok/sec: 390,498 | mfu: 4.7% | epoch: 1 | remaining: 213s    
step 00527 (29.1%) | loss: 3.469562 | lrm: 1.00 | dt: 170ms | tok/sec: 384,534 | mfu: 4.6% | epoch: 1 | remaining: 213s    
step 00528 (29.1%) | loss: 3.470505 | lrm: 1.00 | dt: 169ms | tok/sec: 388,222 | mfu: 4.7% | epoch: 1 | remaining: 212s    
step 00529 (29.2%) | loss: 3.475037 | lrm: 1.00 | dt: 169ms | tok/sec: 386,973 | mfu: 4.6% | epoch: 1 | remaining: 212s    
step 00530 (29.2%) | loss: 3.478658 | lrm: 1.00 | dt: 169ms | tok/sec: 388,094 | mfu: 4.7% | epoch: 1 | remaining: 212s    
step 00531 (29.3%) | loss: 3.481687 | lrm: 1.00 | dt: 171ms | tok/sec: 383,364 | mfu: 4.6% | epoch: 1 | remaining: 212s    
step 00532 (29.4%) | loss: 3.492839 | lrm: 1.00 | dt: 169ms | tok/sec: 387,313 | mfu: 4.6% | epoch: 1 | remaining: 212s    
step 00533 (29.4%) | loss: 3.492822 | lrm: 1.00 | dt: 168ms | tok/sec: 390,593 | mfu: 4.7% | epoch: 1 | remaining: 212s    
step 00534 (29.5%) | loss: 3.483951 | lrm: 1.00 | dt: 168ms | tok/sec: 389,041 | mfu: 4.7% | epoch: 1 | remaining: 211s    
step 00535 (29.5%) | loss: 3.483951 | lrm: 1.00 | dt: 169ms | tok/sec: 387,362 | mfu: 4.6% | epoch: 1 | remaining: 211s    
step 00536 (29.6%) | loss: 3.499921 | lrm: 1.00 | dt: 169ms | tok/sec: 388,786 | mfu: 4.7% | epoch: 1 | remaining: 211s    
step 00537 (29.6%) | loss: 3.496865 | lrm: 1.00 | dt: 170ms | tok/sec: 384,423 | mfu: 4.6% | epoch: 1 | remaining: 211s    
step 00538 (29.7%) | loss: 3.493766 | lrm: 1.00 | dt: 169ms | tok/sec: 388,112 | mfu: 4.7% | epoch: 1 | remaining: 211s    
step 00539 (29.7%) | loss: 3.492565 | lrm: 1.00 | dt: 171ms | tok/sec: 384,004 | mfu: 4.6% | epoch: 1 | remaining: 211s    
step 00540 (29.8%) | loss: 3.490650 | lrm: 1.00 | dt: 168ms | tok/sec: 390,156 | mfu: 4.7% | epoch: 1 | remaining: 210s    
step 00541 (29.9%) | loss: 3.489419 | lrm: 1.00 | dt: 172ms | tok/sec: 381,446 | mfu: 4.6% | epoch: 1 | remaining: 210s    
step 00542 (29.9%) | loss: 3.496787 | lrm: 1.00 | dt: 168ms | tok/sec: 389,365 | mfu: 4.7% | epoch: 1 | remaining: 210s    
step 00543 (30.0%) | loss: 3.493797 | lrm: 1.00 | dt: 170ms | tok/sec: 385,026 | mfu: 4.6% | epoch: 1 | remaining: 210s    
step 00544 (30.0%) | loss: 3.488040 | lrm: 1.00 | dt: 171ms | tok/sec: 384,002 | mfu: 4.6% | epoch: 1 | remaining: 210s    
step 00545 (30.1%) | loss: 3.490225 | lrm: 1.00 | dt: 168ms | tok/sec: 389,915 | mfu: 4.7% | epoch: 1 | remaining: 210s    
step 00546 (30.1%) | loss: 3.496410 | lrm: 1.00 | dt: 169ms | tok/sec: 388,082 | mfu: 4.7% | epoch: 1 | remaining: 209s    
step 00547 (30.2%) | loss: 3.494699 | lrm: 1.00 | dt: 168ms | tok/sec: 390,293 | mfu: 4.7% | epoch: 1 | remaining: 209s    
step 00548 (30.3%) | loss: 3.494439 | lrm: 1.00 | dt: 169ms | tok/sec: 387,933 | mfu: 4.7% | epoch: 1 | remaining: 209s    
step 00549 (30.3%) | loss: 3.498641 | lrm: 1.00 | dt: 170ms | tok/sec: 385,862 | mfu: 4.6% | epoch: 1 | remaining: 209s    
step 00550 (30.4%) | loss: 3.491625 | lrm: 1.00 | dt: 168ms | tok/sec: 388,976 | mfu: 4.7% | epoch: 1 | remaining: 209s    
step 00551 (30.4%) | loss: 3.496685 | lrm: 1.00 | dt: 170ms | tok/sec: 385,752 | mfu: 4.6% | epoch: 1 | remaining: 209s    
step 00552 (30.5%) | loss: 3.497206 | lrm: 1.00 | dt: 168ms | tok/sec: 390,270 | mfu: 4.7% | epoch: 1 | remaining: 208s    
step 00553 (30.5%) | loss: 3.497831 | lrm: 1.00 | dt: 168ms | tok/sec: 389,228 | mfu: 4.7% | epoch: 1 | remaining: 208s    
step 00554 (30.6%) | loss: 3.498969 | lrm: 1.00 | dt: 169ms | tok/sec: 388,671 | mfu: 4.7% | epoch: 1 | remaining: 208s    
step 00555 (30.7%) | loss: 3.495338 | lrm: 1.00 | dt: 170ms | tok/sec: 384,961 | mfu: 4.6% | epoch: 1 | remaining: 208s    
